Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
0.00000;0.00000;169.95795;-0.01995
0.00200;0.00000;170.00088;-0.01967
0.00400;0.00000;170.07572;-0.01948
0.01400;0.00000;170.33346;-0.02057
0.02400;0.00000;170.21525;-0.02117
0.03400;0.00006;169.85219;-0.01891
0.04400;0.00006;169.42470;-0.01911
0.05400;0.00006;169.13734;-0.02077
0.06400;0.00012;169.25265;-0.02002
0.07400;0.00018;169.57574;-0.01955
0.08400;0.00018;169.95071;-0.02127
0.09400;0.00018;170.36655;-0.02059
0.10400;0.00024;170.27517;-0.01831
0.11400;0.00024;170.10812;-0.01870
0.12400;0.00030;170.12315;-0.01898
0.13400;0.00036;169.96168;-0.01795
0.14400;0.00042;169.90793;-0.02028
0.15400;0.00048;170.09916;-0.02267
0.16400;0.00054;170.58650;-0.02155
0.17400;0.00060;170.98967;-0.02078
0.18400;0.00066;171.54348;-0.02084
0.19400;0.00078;172.06314;-0.01803
0.20400;0.00084;172.39508;-0.01681
0.21400;0.00096;172.85222;-0.01930
0.22400;0.00108;173.53795;-0.01996
0.23400;0.00126;174.56672;-0.01944
0.24400;0.00138;175.90239;-0.02144
0.25400;0.00155;177.22416;-0.02159
0.26400;0.00167;178.71737;-0.01871
0.27400;0.00185;180.16144;-0.01809
0.28400;0.00203;181.55799;-0.01950
0.29400;0.00221;183.11563;-0.01824
0.30400;0.00239;184.49769;-0.01900
0.31400;0.00257;185.82455;-0.02134
0.32400;0.00281;187.32941;-0.01997
0.33400;0.00299;189.29769;-0.01771
0.34400;0.00317;191.43169;-0.01816
0.35400;0.00335;193.38705;-0.01770
0.36400;0.00353;194.95423;-0.01594
0.37400;0.00371;196.28028;-0.01748
0.38400;0.00389;197.68081;-0.01900
0.39400;0.00407;199.31039;-0.01756
0.40400;0.00425;200.94197;-0.01803
0.41400;0.00436;202.26715;-0.01902
0.42400;0.00454;203.57836;-0.01694
0.43400;0.00472;204.99355;-0.01593
0.44400;0.00484;206.29549;-0.01771
0.45400;0.00502;207.60482;-0.01690
0.46400;0.00514;208.78720;-0.01646
0.47400;0.00532;210.26058;-0.01871
0.48400;0.00550;211.81866;-0.01856
0.49400;0.00562;213.27208;-0.01661
0.50400;0.00574;214.34515;-0.01685
0.51400;0.00592;215.63012;-0.01731
0.52400;0.00604;216.55180;-0.01503
0.53400;0.00616;217.38454;-0.01514
0.54400;0.00628;218.49957;-0.01697
0.55400;0.00646;219.52835;-0.01604
0.56400;0.00658;220.74021;-0.01583
0.57400;0.00670;221.98411;-0.01746
0.58400;0.00682;223.17509;-0.01706
0.59400;0.00694;223.98334;-0.01579
0.60400;0.00706;224.68867;-0.01647
0.61400;0.00717;225.52016;-0.01629
0.62400;0.00729;226.52305;-0.01437
0.63400;0.00741;227.37747;-0.01465
0.64400;0.00753;228.37913;-0.01570
0.65400;0.00765;229.54962;-0.01495
0.66400;0.00777;230.80090;-0.01534
0.67400;0.00789;231.99168;-0.01663
0.68400;0.00801;232.88056;-0.01481
0.69400;0.00807;233.67500;-0.01274
0.70400;0.00819;234.45382;-0.01353
0.71400;0.00831;235.25592;-0.01387
0.72400;0.00843;236.48220;-0.01326
0.73400;0.00855;237.54882;-0.01499
0.74400;0.00867;238.48850;-0.01596
0.75400;0.00879;239.29272;-0.01412
0.76400;0.00891;239.80106;-0.01305
0.77400;0.00903;240.53387;-0.01300
0.78400;0.00915;241.54498;-0.01139
0.79400;0.00927;242.47500;-0.01147
0.80400;0.00939;243.64786;-0.01389
0.81400;0.00957;244.89346;-0.01488
0.82400;0.00969;245.76401;-0.01477
0.83400;0.00981;246.74844;-0.01586
0.84400;0.00998;247.83027;-0.01468
0.85400;0.01010;248.89756;-0.01187
0.86400;0.01022;250.21532;-0.01137
0.87400;0.01034;251.78632;-0.01206
0.88400;0.01052;253.04875;-0.01218
0.89400;0.01064;254.11097;-0.01383
0.90400;0.01082;255.03025;-0.01602
0.91400;0.01094;256.11173;-0.01528
0.92400;0.01106;257.26992;-0.01370
0.93400;0.01118;258.26786;-0.01336
0.94400;0.01130;259.37187;-0.01234
0.95400;0.01148;260.35479;-0.01170
0.96400;0.01160;261.39687;-0.01311
0.97400;0.01172;262.39336;-0.01397
0.98400;0.01184;263.59397;-0.01343
0.99400;0.01196;264.70514;-0.01360
1.00400;0.01208;265.92582;-0.01324
1.01400;0.01220;266.96189;-0.01206
1.02400;0.01232;267.89103;-0.01179
1.03400;0.01250;268.72680;-0.01247
1.04400;0.01262;269.60033;-0.01205
1.05400;0.01274;270.58001;-0.01185
1.06400;0.01285;271.93956;-0.01289
1.07400;0.01303;273.02047;-0.01238
1.08400;0.01315;274.02584;-0.01133
1.09400;0.01327;275.09495;-0.01142
1.10400;0.01339;276.10601;-0.01143
1.11400;0.01357;277.18316;-0.01089
1.12400;0.01369;278.16147;-0.01160
1.13400;0.01381;279.27535;-0.01239
1.14400;0.01393;280.31284;-0.01120
1.15400;0.01405;281.33879;-0.01106
1.16400;0.01411;282.25160;-0.01183
1.17400;0.01423;283.08672;-0.01155
1.18400;0.01435;283.65564;-0.01147
1.19400;0.01447;284.40750;-0.01224
1.20400;0.01459;285.41831;-0.01111
1.21400;0.01471;286.49573;-0.00967
1.22400;0.01483;287.60640;-0.01064
1.23400;0.01495;288.76925;-0.01188
1.24400;0.01507;289.67478;-0.01151
1.25400;0.01519;290.44757;-0.01224
1.26400;0.01531;291.29281;-0.01238
1.27400;0.01543;292.19128;-0.01020
1.28400;0.01555;293.10696;-0.00887
1.29400;0.01566;294.03304;-0.00948
1.30400;0.01578;294.95806;-0.00952
1.31400;0.01590;295.81371;-0.00947
1.32400;0.01602;296.76300;-0.01105
1.33400;0.01614;297.92434;-0.01089
1.34400;0.01626;299.03108;-0.00935
1.35400;0.01638;299.95281;-0.00906
1.36400;0.01650;300.66329;-0.00947
1.37400;0.01662;301.60041;-0.00824
1.38400;0.01674;302.33457;-0.00841
1.39400;0.01686;303.15975;-0.00971
1.40400;0.01692;303.99489;-0.00948
1.41400;0.01704;304.87743;-0.00956
1.42400;0.01716;305.71448;-0.01058
1.43400;0.01728;306.59668;-0.00975
1.44400;0.01740;307.62211;-0.00871
1.45400;0.01746;308.79837;-0.00940
1.46400;0.01758;309.64164;-0.00964
1.47400;0.01770;310.19154;-0.00838
1.48400;0.01782;310.96879;-0.00836
1.49400;0.01794;312.03835;-0.00879
1.50400;0.01800;313.23505;-0.00800
1.51400;0.01812;314.12810;-0.00750
1.52400;0.01824;314.82780;-0.00774
1.53400;0.01830;315.31635;-0.00661
1.54400;0.01842;316.03994;-0.00611
1.55400;0.01853;316.76742;-0.00717
1.56400;0.01865;317.50049;-0.00708
1.57400;0.01871;318.41514;-0.00651
1.58400;0.01883;319.30536;-0.00726
1.59400;0.01895;320.26346;-0.00729
1.60400;0.01907;321.10126;-0.00650
1.61400;0.01919;321.79507;-0.00700
1.62400;0.01925;322.53163;-0.00793
1.63400;0.01937;323.29084;-0.00790
1.64400;0.01949;324.11159;-0.00827
1.65400;0.01961;325.01030;-0.00907
1.66400;0.01973;325.98849;-0.00828
1.67400;0.01985;327.09530;-0.00713
1.68400;0.01997;328.28844;-0.00683
1.69400;0.02015;329.38793;-0.00635
1.70400;0.02027;330.45628;-0.00590
1.71400;0.02039;331.16078;-0.00682
1.72400;0.02051;332.08814;-0.00717
1.73400;0.02069;333.17886;-0.00638
1.74400;0.02081;334.56155;-0.00697
1.75400;0.02093;335.88887;-0.00785
1.76400;0.02111;336.95397;-0.00698
1.77400;0.02123;337.46280;-0.00689
1.78400;0.02134;338.47829;-0.00733
1.79400;0.02152;339.68261;-0.00645
1.80400;0.02164;340.95594;-0.00569
1.81400;0.02176;342.23045;-0.00658
1.82400;0.02188;343.26958;-0.00678
1.83400;0.02200;344.31163;-0.00641
1.84400;0.02212;345.42375;-0.00696
1.85400;0.02224;346.42194;-0.00684
1.86400;0.02236;347.37571;-0.00528
1.87400;0.02254;348.27394;-0.00463
1.88400;0.02266;349.02636;-0.00509
1.89400;0.02278;349.78590;-0.00491
1.90400;0.02290;350.54253;-0.00509
1.91400;0.02302;351.51031;-0.00609
1.92400;0.02320;352.63775;-0.00600
1.93400;0.02332;353.90810;-0.00546
1.94400;0.02344;355.13565;-0.00606
1.95400;0.02356;356.24967;-0.00570
1.96400;0.02368;357.09098;-0.00432
1.97400;0.02380;357.98708;-0.00464
1.98400;0.02392;358.93884;-0.00508
1.99400;0.02404;359.97904;-0.00426
2.00400;0.02415;361.23339;-0.00392
2.01400;0.02427;362.04432;-0.00430
2.02400;0.02439;362.69873;-0.00313
2.03400;0.02451;363.34046;-0.00251
2.04400;0.02463;364.12219;-0.00350
2.05400;0.02475;365.08453;-0.00353
2.06400;0.02487;365.92637;-0.00313
2.07400;0.02499;366.71250;-0.00391
2.08400;0.02511;367.44138;-0.00412
2.09400;0.02523;368.06273;-0.00301
2.10400;0.02535;368.73268;-0.00334
2.11400;0.02547;369.79348;-0.00400
2.12400;0.02559;370.87209;-0.00337
